,level,district_code,district_name,school_code,school_name,grade,num_total_rec,num_valid_scores,num_no_scores,participation_rate,mean_scale_score_19,std_scale_score_19,mean_scale_score_18,num_pme_19,percent_pme_19,num_ae_19,percent_ae_19,num_me_19,percent_me_19,num_ee_19,percent_ee_19,num_me_or_ee_19,percent_me_or_ee_19,num_me_or_ee_18,percent_me_or_ee_18,change_in_me_or_ee
277,DISTRICT,1160,COTOPAXI RE-3,0000,All Schools,HS,      22,      20,       2,90.9,634,117,0,       5,25.0,       8,40.0,0,0.0,0,0.0,       7,35.0,0,0.0,0.0
278,DISTRICT,1180,ROARING FORK RE-1,0000,All Schools,All Grades,"   1,244",     924,     320,74.3,576,118,579,     335,36.3,     337,36.5,     225,24.4,      27,2.9,     252,27.3,     290,27.7,-0.4
279,DISTRICT,1180,ROARING FORK RE-1,0000,All Schools,05,     412,     405,       7,98.3,572,111,583,     146,36.0,     160,39.5,      88,21.7,      11,2.7,      99,24.4,     140,31.9,-7.5
280,DISTRICT,1180,ROARING FORK RE-1,0000,All Schools,08,     400,     384,      16,96.0,570,126,577,     157,40.9,     117,30.5,     100,26.0,      10,2.6,     110,28.6,      96,25.9,2.7
281,DISTRICT,1180,ROARING FORK RE-1,0000,All Schools,HS,     432,     135,     297,31.3,603,115,574,      32,23.7,      60,44.4,      37,27.4,       6,4.4,      43,31.9,      54,22.6,9.3
282,DISTRICT,1195,GARFIELD RE-2,0000,All Schools,All Grades,"   1,072",     938,     134,87.5,573,117,578,     357,38.1,     346,36.9,     215,22.9,      20,2.1,     235,25.1,     202,25.5,-0.4
283,DISTRICT,1195,GARFIELD RE-2,0000,All Schools,05,     380,     370,      10,97.4,603,101,567,      94,25.4,     158,42.7,     108,29.2,      10,2.7,     118,31.9,      79,22.3,9.6
284,DISTRICT,1195,GARFIELD RE-2,0000,All Schools,08,     375,     322,      53,85.9,571,123,582,     133,41.3,      98,30.4,0,0.0,0,0.0,      91,28.3,      83,29.4,-1.1
285,DISTRICT,1195,GARFIELD RE-2,0000,All Schools,HS,     317,     246,      71,77.6,530,117,593,     130,52.8,      90,36.6,0,0.0,0,0.0,      26,10.6,      40,25.8,-15.2
286,DISTRICT,1220,GARFIELD 16,0000,All Schools,All Grades,     290,     133,     157,45.9,559,99,549,      56,42.1,      53,39.8,0,0.0,0,0.0,      24,18.0,      17,13.4,4.6
287,DISTRICT,1220,GARFIELD 16,0000,All Schools,05,     110,      81,      29,73.6,551,94,550,      35,43.2,      34,42.0,0,0.0,0,0.0,      12,14.8,       6,9.5,5.3
288,DISTRICT,1220,GARFIELD 16,0000,All Schools,08,      92,      22,      70,23.9,563,123,509,      10,45.5,       6,27.3,0,0.0,0,0.0,       6,27.3,       5,14.3,13.0
289,DISTRICT,1220,GARFIELD 16,0000,All Schools,HS,      88,      30,      58,34.1,578,94,597,      11,36.7,      13,43.3,0,0.0,0,0.0,       6,20.0,       6,20.7,-0.7
290,DISTRICT,1330,GILPIN COUNTY RE-1,0000,All Schools,All Grades,     115,     106,       9,92.2,647,100,629,      19,17.9,      38,35.8,      39,36.8,      10,9.4,      49,46.2,      45,46.4,-0.2
291,DISTRICT,1330,GILPIN COUNTY RE-1,0000,All Schools,05,      43,      41,       2,95.3,663,100,657,       5,12.2,      14,34.1,      17,41.5,       5,12.2,      22,53.7,      24,58.5,-4.8
292,DISTRICT,1330,GILPIN COUNTY RE-1,0000,All Schools,08,      38,      37,       1,97.4,642,113,600,      10,27.0,       8,21.6,0,0.0,0,0.0,      19,51.4,      14,41.2,10.2
293,DISTRICT,1330,GILPIN COUNTY RE-1,0000,All Schools,HS,      34,      28,       6,82.4,629,79,621,       4,14.3,      16,57.1,0,0.0,0,0.0,       8,28.6,       7,31.8,-3.2
294,DISTRICT,1340,WEST GRAND 1-JT,0000,All Schools,All Grades,      98,      82,      16,83.7,545,101,588,      37,45.1,      36,43.9,0,0.0,0,0.0,       9,11.0,      14,17.7,-6.7
295,DISTRICT,1340,WEST GRAND 1-JT,0000,All Schools,05,      28,      28,       0,100.0,576,92,595,       9,32.1,      14,50.0,0,0.0,0,0.0,       5,17.9,0,0.0,0.0
296,DISTRICT,1340,WEST GRAND 1-JT,0000,All Schools,08,      26,      25,       1,96.2,528,93,591,      15,60.0,0,0.0,0,0.0,0,0.0,0,0.0,       7,28.0,0.0
297,DISTRICT,1340,WEST GRAND 1-JT,0000,All Schools,HS,      44,      29,      15,65.9,531,112,575,      13,44.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
298,DISTRICT,1350,EAST GRAND 2,0000,All Schools,All Grades,     318,     301,      17,94.7,599,117,614,      90,29.9,     106,35.2,      96,31.9,       9,3.0,     105,34.9,     114,39.3,-4.4
299,DISTRICT,1350,EAST GRAND 2,0000,All Schools,05,     110,     109,       1,99.1,600,102,625,      28,25.7,      42,38.5,0,0.0,0,0.0,      39,35.8,      46,41.4,-5.6
300,DISTRICT,1350,EAST GRAND 2,0000,All Schools,08,     118,     108,      10,91.5,619,110,599,      29,26.9,      36,33.3,      39,36.1,       4,3.7,      43,39.8,      38,38.0,1.8
301,DISTRICT,1350,EAST GRAND 2,0000,All Schools,HS,      90,      84,       6,93.3,570,137,617,      33,39.3,      28,33.3,0,0.0,0,0.0,      23,27.4,      30,38.0,-10.6
302,DISTRICT,1360,GUNNISON WATERSHED RE1J,0000,All Schools,All Grades,     501,     438,      63,87.4,610,102,609,     106,24.2,     172,39.3,     150,34.2,      10,2.3,     160,36.5,     156,37.7,-1.2
303,DISTRICT,1360,GUNNISON WATERSHED RE1J,0000,All Schools,05,     172,     166,       6,96.5,619,102,616,      33,19.9,      64,38.6,      63,38.0,       6,3.6,      69,41.6,      59,41.3,0.3
